Zip Code,Price,Beds,Baths,Living Space,Address,City,State,Zip Code Population,Zip Code Density,County,Median Household Income,Latitude,Longitude
79912,234900.0,3,3,1314,739 MOFFAT LN,El Paso,Texas,78470,1281.1,El Paso,103980.0,31.84839,-106.53272
70117,364000.0,2,2,1376,1224 MAZANT ST,New Orleans,Louisiana,27009,1894.5,Orleans,61422.0,29.9685,-90.03004
76247,318000.0,3,3,2318,16125 HOLLYHILL CT,Justin,Texas,16511,85.7,Denton,128487.0,33.0965,-97.33154
48203,95000.0,3,1,877,20431 HULL ST,Highland Park,Michigan,21253,999.4,Wayne,52787.0,42.42176,-83.1031
95816,525000.0,2,1,1324,810 38TH ST,Sacramento,California,18033,2551.8,Sacramento,113303.0,38.57555,-121.46543
20011,620000.0,3,3,1712,65 ALLISON ST NE,Washington,District of Columbia,67386,4851.3,District of Columbia,137295.0,38.95295,-77.02323
78738,1990000.0,4,5,3435,607 VENDEMMIA BND,Austin,Texas,26806,245.9,Travis,205511.0,30.30668,-97.99002
53214,259900.0,3,1,1460,128 S 71ST ST,Milwaukee,Wisconsin,35358,1911.7,Milwaukee,67966.0,43.02061,-88.01634
95136,1049000.0,3,3,1810,705 BATISTA DR,San Jose,California,48867,3626.1,Santa Clara,172715.0,37.27192,-121.85237
53207,225000.0,2,2,1099,4521 S LENOX ST,Milwaukee,Wisconsin,35120,1362.4,Milwaukee,88034.0,42.97148,-87.90152
85209,439900.0,3,2,1402,10258 E KEATS CIR,Mesa,Arizona,39726,1301.2,Maricopa,94457.0,33.37877,-111.63476
93704,449304.0,4,2,1902,464 W ESCALON AVE,Fresno,California,29184,2087.9,Fresno,92194.0,36.80012,-119.80202
80917,505000.0,5,4,2838,5205 WHIP TRL,Colorado Springs,Colorado,31614,2174.4,El Paso,83184.0,38.88684,-104.74049
90807,1600000.0,3,5,3220,4365 CERRITOS AVE,Long Beach,California,32994,2881.6,Los Angeles,122666.0,33.83098,-118.18113
87106,389000.0,3,2,1225,1514 VASSAR DR NE,Albuquerque,New Mexico,25844,278.6,Bernalillo,75283.0,35.00818,-106.61185
78253,325000.0,4,3,2320,12730 GOLD SPANIARD,San Antonio,Texas,59752,430.2,Bexar,123081.0,29.46899,-98.78885
77008,1150000.0,3,2,2460,705 E 19TH ST,Houston,Texas,37097,2210.2,Harris,205291.0,29.79856,-95.41766
78704,2100000.0,4,3,2519,2406 ROCK TERRACE CIR,Austin,Texas,49854,2196.2,Travis,141341.0,30.24298,-97.76537
11230,3575000.0,6,3,2860,1222 OCEAN PKWY,Brooklyn,New York,91789,19230.4,Kings,95988.0,40.6221,-73.96525
87113,1200000.0,4,3,3051,212 LAVENDAR PLACE NW,Albuquerque,New Mexico,16879,437.8,Bernalillo,114025.0,35.19249,-106.5708
38118,152900.0,3,2,1200,3249 S GOODLETT ST,Memphis,Tennessee,38931,493.4,Shelby,58634.0,35.03655,-89.93021
94112,1628000.0,4,3,1775,174 NAPLES ST,San Francisco,California,84477,9779.0,San Francisco,162512.0,37.7206,-122.44311
95838,329000.0,2,1,2189,2009 VERANO ST,Sacramento,California,41438,1738.1,Sacramento,76618.0,38.64708,-121.44312
85208,465000.0,3,2,1427,630 S 108TH PL,Mesa,Arizona,36837,1746.9,Maricopa,76690.0,33.40301,-111.63194
60629,334900.0,5,2,1916,3541 W 74TH ST,Chicago,Illinois,107487,5888.0,Cook,71301.0,41.7754,-87.71239
21218,225000.0,3,4,1328,529 E 38TH ST,Baltimore,Maryland,47081,4198.8,Baltimore,88921.0,39.33031,-76.60235
73119,79000.0,3,2,1176,2924 SW 57TH ST,Oklahoma City,Oklahoma,30420,1726.6,Oklahoma,50586.0,35.4215,-97.56896
19128,339900.0,3,2,1680,355 DAWSON ST,Philadelphia,Pennsylvania,38840,2147.0,Philadelphia,107171.0,40.05003,-75.23003
92126,610000.0,2,2,996,9925 MAYA LINDA RD,San Diego,California,78097,2602.5,San Diego,136917.0,32.912,-117.14344
60651,335500.0,5,3,1565,1501 N LECLAIRE AVE,Chicago,Illinois,64638,7206.8,Cook,67276.0,41.90202,-87.74104
90063,399900.0,2,1,660,822 N GAGE AVE,Los Angeles,California,52954,6224.3,Los Angeles,81258.0,34.0452,-118.18583
98102,1140000.0,2,3,1552,2055 MINOR AVE E # 9,Seattle,Washington,25396,7702.9,King,157582.0,47.63627,-122.32337
95125,540000.0,1,1,784,1527 ALMA TER,San Jose,California,53478,2834.4,Santa Clara,224763.0,37.29554,-121.89408
76006,1199888.0,5,6,8199,2333 STONE BRIDGE DR,Arlington,Texas,24547,1240.4,Tarrant,80496.0,32.78511,-97.10019
38128,120000.0,2,3,1200,2791 E HICKORY BLF,Memphis,Tennessee,45087,736.4,Shelby,59173.0,35.22623,-89.92612
23452,385000.0,4,2,1700,3201 CLUB HOUSE CT,Virginia Beach,Virginia,56854,1451.3,Virginia Beach,110980.0,36.84604,-76.09197
95148,2590000.0,4,4,2442,3114 RASMUS CIR,San Jose,California,47305,2317.1,Santa Clara,188361.0,37.33252,-121.78142
33133,755000.0,1,2,938,3350 SW 27TH AVE APT 1806,Miami,Florida,34434,3194.2,Miami-Dade,164713.0,25.72983,-80.24327
68122,324990.0,4,3,1752,9424 REYNOLDS ST,Omaha,Nebraska,12568,276.3,Douglas,104805.0,41.36451,-96.05036
77079,289000.0,3,3,2082,14176 MISTY MEADOW LN,Houston,Texas,34633,1728.6,Harris,160437.0,29.77632,-95.6037
95841,295999.0,3,2,1122,5804 SHADOW CREEK DR APT 4,Sacramento,California,20892,2069.5,Sacramento,82502.0,38.66031,-121.34812
74145,349000.0,5,3,2625,7115 E 53RD PL,Tulsa,Oklahoma,18611,1209.0,Tulsa,70703.0,36.09728,-95.88731
95123,1249888.0,4,2,1321,5959 CAHALAN AVE,San Jose,California,71118,3510.4,Santa Clara,165181.0,37.24479,-121.83306
19132,209000.0,2,2,958,3109 W ARIZONA ST,Philadelphia,Pennsylvania,32802,5879.3,Philadelphia,48243.0,39.99649,-75.17102
53207,374900.0,4,2,1485,2927 S WENTWORTH AVE,Milwaukee,Wisconsin,35120,1362.4,Milwaukee,88034.0,42.97148,-87.90152
87110,390000.0,4,3,2244,2917 ESPANOLA ST NE,Albuquerque,New Mexico,40307,1774.2,Bernalillo,80483.0,35.10812,-106.57816
90803,1499000.0,4,3,2628,126 ORIZABA AVE,Long Beach,California,32631,3099.7,Los Angeles,141826.0,33.76162,-118.12178
23454,445000.0,4,3,2113,1020 TORNGAT CT,Virginia Beach,Virginia,57942,994.7,Virginia Beach,119364.0,36.83216,-76.02616
27610,361250.0,3,3,1931,2218 KASOTA LN # 725,Raleigh,North Carolina,79445,679.4,Wake,77917.0,35.7435,-78.54644
32218,209000.0,3,2,1143,10119 HAVERFORD RD,Jacksonville,Florida,68534,273.8,Duval,82140.0,30.48673,-81.66959
79928,300000.0,3,3,1636,322 DURSLEY ST,El Paso,Texas,76392,140.6,El Paso,82767.0,31.67896,-106.11511
67207,160000.0,3,2,1251,7820 E LINCOLN ST,Wichita,Kansas,26836,994.5,Sedgwick,90763.0,37.66567,-97.22923
76244,399000.0,4,3,2508,3744 SUMMERSVILLE LN,Keller,Texas,74884,1939.6,Tarrant,132998.0,32.93101,-97.28076
37205,1050000.0,3,3,2850,1113 DAVIDSON RD,Nashville,Tennessee,25437,688.5,Davidson,222323.0,36.11075,-86.87274
37215,1865000.0,5,5,4106,1726 WARFIELD DR,Nashville,Tennessee,22829,575.1,Davidson,217318.0,36.08197,-86.83492
48217,69000.0,3,1,1100,3794 S BASSETT ST,Detroit,Michigan,6820,1141.0,Wayne,56299.0,42.27803,-83.15409
10312,549999.0,2,2,1530,32 OCEANIC AVE,Staten Island,New York,63935,3592.3,Richmond,133355.0,40.54489,-74.18084
90272,14995000.0,5,6,7000,216 TOYOPA DR,Pacific Palisades,California,21282,345.1,Los Angeles,382839.0,34.08066,-118.54459
85053,395000.0,4,3,1726,3704 W CAROL ANN WAY,Phoenix,Arizona,28939,2162.6,Maricopa,87692.0,33.6296,-112.13184
53220,229900.0,3,1,1366,8035 W WARNIMONT AVE,Milwaukee,Wisconsin,27366,1902.7,Milwaukee,83329.0,42.96515,-87.99142
94605,390000.0,2,2,1024,10401 SHAW ST APT 201,Oakland,California,45334,1982.4,Alameda,130531.0,37.76062,-122.14903
40258,220000.0,4,3,1446,8115 KERRY RD,Louisville,Kentucky,27430,907.0,Jefferson,77563.0,38.14514,-85.87253
64114,299000.0,3,3,1588,1108 W 75TH TER,Kansas City,Missouri,24700,1347.8,Jackson,91489.0,38.9581,-94.59715
93706,495000.0,3,2,1188,1572 W SOUTH AVE,Fresno,California,41470,101.0,Fresno,60511.0,36.65344,-119.90216
93722,392000.0,3,2,1754,6166 N IVANHOE AVE,Fresno,California,88116,1762.8,Fresno,93714.0,36.80003,-119.87791
94122,1599000.0,6,6,2328,1856 28TH AVE,San Francisco,California,60144,7129.3,San Francisco,179517.0,37.76113,-122.48433
78758,665900.0,3,2,1933,12409 WILLOW BEND DR,Austin,Texas,50717,2155.0,Travis,87779.0,30.38768,-97.70665
60607,1650000.0,5,7,6920,1261 W FLOURNOY ST,Chicago,Illinois,29990,5005.4,Cook,163371.0,41.87467,-87.65175
87111,390000.0,3,2,1500,11417 APPIAN WAY NE,Albuquerque,New Mexico,57518,1748.6,Bernalillo,109573.0,35.13824,-106.51589
91403,7789000.0,7,9,10085,3676 CROWNRIDGE DR,Sherman Oaks,California,26061,2805.1,Los Angeles,168444.0,34.14716,-118.46311
32254,125000.0,4,2,1782,233 SPRING ST,Jacksonville,Florida,13798,429.5,Duval,51308.0,30.34164,-81.73549
40219,75000.0,3,1,1378,6205 HANSES DR,Louisville,Kentucky,38589,1002.7,Jefferson,66115.0,38.13907,-85.68877
55410,849900.0,3,4,2838,5041 QUEEN AVE S,Minneapolis,Minnesota,20525,2581.6,Hennepin,201229.0,44.91364,-93.31725
37221,614900.0,3,3,1624,2222 WINTHROP WAY,Nashville,Tennessee,42232,330.5,Davidson,122269.0,36.05991,-86.97189
85737,519000.0,3,2,2545,1869 W HAWKRIDGE ST,Tucson,Arizona,22331,363.7,Pima,121177.0,32.41425,-110.94683
40207,916000.0,5,3,5274,1506 NORTHWIND RD,Louisville,Kentucky,29359,965.8,Jefferson,144750.0,38.26357,-85.65543
55411,274900.0,4,2,2120,1349 RUSSELL AVE N,Minneapolis,Minnesota,31397,3009.7,Hennepin,69896.0,44.9993,-93.2979
43068,218000.0,4,2,1432,1121 ALEXANDRIA RD,Reynoldsburg,Ohio,58426,1150.5,Franklin,84597.0,39.95667,-82.78468
85202,489000.0,3,2,1640,557 S VISALIA,Mesa,Arizona,38663,2393.9,Maricopa,79374.0,33.38252,-111.87482
94618,948888.0,3,2,1087,5340 BROADWAY TER APT 408,Oakland,California,17324,2760.5,Alameda,267556.0,37.8442,-122.23868
73119,135000.0,3,1,1163,2432 SW 51ST ST,Oklahoma City,Oklahoma,30420,1726.6,Oklahoma,50586.0,35.4215,-97.56896
85209,350000.0,3,2,1268,10136 E SOUTHERN AVE UNIT 1110,Mesa,Arizona,39726,1301.2,Maricopa,94457.0,33.37877,-111.63476
21211,389900.0,4,3,2120,838 WELLINGTON ST,Baltimore,Maryland,16420,2211.2,Baltimore,99117.0,39.32857,-76.6389
38125,449900.0,4,3,3600,4296 OLD FOREST RD,Memphis,Tennessee,42717,867.9,Shelby,95196.0,35.02537,-89.78936
74112,184900.0,3,2,1360,1114 S BRADEN AVE,Tulsa,Oklahoma,21919,1241.4,Tulsa,68714.0,36.14696,-95.90437
20009,524990.0,2,1,875,1701 16TH ST NW APT 334,Washington,District of Columbia,51288,15023.9,District of Columbia,179185.0,38.91986,-77.03749
78729,499950.0,4,3,2182,7805 VARCELLA TRL,Austin,Texas,30907,1216.1,Williamson,107830.0,30.45738,-97.75516
68154,1299000.0,3,4,5935,1339 N 138TH ST,Omaha,Nebraska,23015,1308.2,Douglas,130735.0,41.26408,-96.11665
85716,250000.0,2,1,1093,3437 N EDITH BLVD,Tucson,Arizona,31317,1679.6,Pima,66518.0,32.24222,-110.92351
30305,405000.0,2,2,1094,2828 PEACHTREE RD NW APT 704,Atlanta,Georgia,26398,1569.0,Fulton,199640.0,33.83518,-84.38931
74106,85000.0,3,1,1392,2715 N CHEYENNE AVE,Tulsa,Oklahoma,16867,852.7,Tulsa,47992.0,36.19191,-95.98416
46241,109900.0,2,1,720,5032 W RAYMOND ST,Indianapolis,Indiana,33756,545.3,Marion,58777.0,39.72389,-86.26842
79934,362950.0,4,3,1914,51065 FOX TRAIL AVENUE,El Paso,Texas,26916,175.8,El Paso,90524.0,31.95206,-106.434
80203,395000.0,2,2,1059,700 N WASHINGTON ST APT 302,Denver,Colorado,20972,7410.0,Denver,89245.0,39.73142,-104.98274
74134,339900.0,4,3,2230,18507 E 48TH ST,Tulsa,Oklahoma,21719,694.6,Tulsa,97001.0,36.1106,-95.80156
80909,460000.0,4,3,2679,2004 CONDOR ST,Colorado Springs,Colorado,37821,1841.6,El Paso,72120.0,38.85255,-104.77434
21209,259000.0,2,2,1437,3 PIPE HILL CT # 3A,Baltimore,Maryland,30146,1802.3,Baltimore,129887.0,39.37261,-76.66802
40220,235000.0,2,1,1108,3104 DEBERA WAY,Louisville,Kentucky,34723,1750.6,Jefferson,89236.0,38.21535,-85.61794
79924,248000.0,3,2,1860,5237 LA TASTE AVE,El Paso,Texas,59420,1852.9,El Paso,64355.0,31.90224,-106.41355
94602,949000.0,3,3,1852,2551 CASTELLO ST,Oakland,California,31451,3338.4,Alameda,176750.0,37.80517,-122.20422
78704,750000.0,2,3,1099,4205 CLAWSON RD # 1,Austin,Texas,49854,2196.2,Travis,141341.0,30.24298,-97.76537
76028,275000.0,3,2,1434,11716 FALLOW DEER CT,Burleson,Texas,74217,369.9,Johnson,111984.0,32.52603,-97.30491
92122,749000.0,3,2,1472,7863 CAMINO RAPOSA,San Diego,California,45676,3279.1,San Diego,127048.0,32.85681,-117.21017
38016,365000.0,5,3,3200,1908 DARTFORD DR,Cordova,Tennessee,45170,962.9,Shelby,88910.0,35.17956,-89.76046
38106,75000.0,3,2,1200,1388 S WILLETT ST,Memphis,Tennessee,23745,881.7,Shelby,42197.0,35.10067,-90.0375
46260,220000.0,3,1,1346,2216 RIVIERA ST,Indianapolis,Indiana,35529,1317.4,Marion,98188.0,39.89744,-86.17927
95818,699000.0,3,3,1620,2383 CROATIA WALK,Sacramento,California,22423,2243.3,Sacramento,146969.0,38.55579,-121.49669
98107,650000.0,2,2,1065,5650 24TH AVE NW UNIT 316,Seattle,Washington,27116,4818.8,King,167124.0,47.66757,-122.37789
46229,239900.0,3,2,1505,11830 CALZIA LN,Indianapolis,Indiana,28062,954.9,Marion,85338.0,39.78852,-85.978
80222,499999.0,2,2,1662,6166 E YALE AVE,Denver,Colorado,24169,2439.8,Denver,120070.0,39.6713,-104.92828
85742,545000.0,4,2,1834,3562 W SCENIC PARK DR,Tucson,Arizona,28938,501.1,Pima,119864.0,32.3898,-111.05113
30310,285000.0,3,2,1812,1423 LYNFORD DR SW,Atlanta,Georgia,26979,1212.6,Fulton,66507.0,33.72695,-84.42726
76001,550000.0,3,2,2233,2101 WANDA WAY,Arlington,Texas,37134,1342.7,Tarrant,118637.0,32.63076,-97.15408
30316,250000.0,3,3,2578,1982 BOULDERVIEW DR SE,Atlanta,Georgia,34810,1030.4,DeKalb,125721.0,33.71277,-84.33218
48224,95000.0,3,2,1456,10728 WORDEN ST,Detroit,Michigan,38824,2598.2,Wayne,56290.0,42.41074,-82.94147
40204,155000.0,1,1,776,945 SAMUEL ST,Louisville,Kentucky,14591,1775.1,Jefferson,97965.0,38.23873,-85.7208
68164,1495000.0,5,6,6592,3320 N 134TH CIR,Omaha,Nebraska,29642,1295.2,Douglas,98898.0,41.29886,-96.10949
80204,609000.0,4,4,1473,815 LOWELL BLVD,Denver,Colorado,33853,2384.7,Denver,116029.0,39.73476,-105.0207
32256,165000.0,2,2,1310,7740 SOUTHSIDE BLVD APT 1203,Jacksonville,Florida,48988,308.2,Duval,95821.0,30.1929,-81.50309
89129,485000.0,5,4,2480,10418 MORNING DROP AVE,Las Vegas,Nevada,54770,2118.4,Clark,118094.0,36.23325,-115.29025
28208,377500.0,3,3,1939,2117 STRAWBERRY PATCH ST # 31,Charlotte,North Carolina,40885,780.1,Mecklenburg,72104.0,35.23153,-80.90611
95842,479900.0,4,2,1362,4330 STOCKBRIDGE AVE,Sacramento,California,34578,3361.4,Sacramento,74618.0,38.687,-121.34889
85044,335000.0,2,2,976,8646 S 51ST ST UNIT 1,Phoenix,Arizona,40815,955.2,Maricopa,117348.0,33.33997,-112.00617
92120,1395000.0,5,3,2273,7472 MARGERUM AVE,San Diego,California,29172,1466.5,San Diego,142138.0,32.79526,-117.07317
55416,1100000.0,3,4,3033,3110 W LAKE ST # 131,Minneapolis,Minnesota,34181,1799.0,Hennepin,139346.0,44.94961,-93.34157
70122,179000.0,4,1,1230,3006 MANDEVILLE ST,New Orleans,Louisiana,35886,2210.2,Orleans,67620.0,30.00835,-90.06467
78734,335000.0,1,2,967,102 BELLA TOSCANA AVE UNIT 1106,Austin,Texas,21625,440.9,Travis,170977.0,30.38079,-97.94676
46228,210000.0,3,2,3089,5759 GRANDIOSE DR,Indianapolis,Indiana,16947,826.0,Marion,107898.0,39.8487,-86.20045
80219,595000.0,4,3,2291,1680 S STUART ST,Denver,Colorado,67393,3525.1,Denver,78583.0,39.69496,-105.03432
19147,2150000.0,4,4,5244,542 QUEEN ST,Philadelphia,Pennsylvania,39335,11352.6,Philadelphia,154389.0,39.93645,-75.15468
46214,217900.0,3,3,1807,7666 EAGLE VALLEY PASS,Indianapolis,Indiana,23377,1209.6,Marion,70216.0,39.7917,-86.29009
80212,1100000.0,4,3,2431,3915 W 25TH AVE,Denver,Colorado,19778,2143.1,Denver,146081.0,39.77174,-105.04819
94122,1799000.0,3,2,2004,1650 48TH AVE,San Francisco,California,60144,7129.3,San Francisco,179517.0,37.76113,-122.48433
89118,220000.0,2,2,920,5150 S JONES BLVD UNIT 208,Las Vegas,Nevada,22701,827.0,Clark,92463.0,36.07778,-115.21306
19111,325000.0,3,2,1350,1122 BLEIGH AVE,Philadelphia,Pennsylvania,68452,5454.3,Philadelphia,77163.0,40.06065,-75.08019
48228,79000.0,3,1,1020,7842 MANSFIELD ST,Detroit,Michigan,57005,2471.4,Wayne,46566.0,42.35562,-83.21791
20002,1149000.0,4,4,2580,426 15TH ST NE,Washington,District of Columbia,68201,5126.3,District of Columbia,147338.0,38.90511,-76.98431
33131,640000.0,1,1,732,495 BRICKELL AVE APT 2206,Miami,Florida,22529,17357.2,Miami-Dade,185585.0,25.76417,-80.18459
40299,325000.0,3,2,2849,3004 GLEESON LN,Louisville,Kentucky,41448,296.5,Jefferson,103618.0,38.16319,-85.51613
64110,325000.0,3,3,2447,6010 ROCKHILL RD,Kansas City,Missouri,17400,2249.2,Jackson,80574.0,39.03445,-94.57265
90805,245000.0,3,2,1100,6475 ATLANTIC AVE,Long Beach,California,96840,5039.9,Los Angeles,81030.0,33.86494,-118.18051
20002,450000.0,1,1,615,911 2ND ST NE UNIT 403,Washington,District of Columbia,68201,5126.3,District of Columbia,147338.0,38.90511,-76.98431
95117,998000.0,3,3,1626,461 NORTHLAKE DR APT 25,San Jose,California,28832,4797.7,Santa Clara,165573.0,37.31008,-121.96225
19145,749900.0,3,3,2970,1822 S BROAD ST,Philadelphia,Pennsylvania,45101,3631.1,Philadelphia,88659.0,39.91469,-75.19194
74135,419900.0,3,3,2246,5337 E 44TH ST,Tulsa,Oklahoma,20096,1262.3,Tulsa,91554.0,36.09725,-95.92315
95133,789000.0,3,2,1342,843 SOUTHGROVE DR,San Jose,California,28902,3421.6,Santa Clara,173587.0,37.37171,-121.86057
85747,380000.0,5,3,2722,10454 E RITA RANCH CROSSING CIR,Tucson,Arizona,26083,150.3,Pima,114018.0,32.09318,-110.7723
80237,340000.0,2,2,1003,8500 E JEFFERSON AVE APT 20E,Denver,Colorado,22149,2360.1,Denver,115125.0,39.63996,-104.90178
95834,659950.0,4,3,2365,4579 MAPLE CREST ST,Sacramento,California,33102,1282.7,Sacramento,111529.0,38.64207,-121.51967
94131,1595000.0,3,2,2113,64 CRAGS CT,San Francisco,California,29437,5620.9,San Francisco,259573.0,37.74569,-122.44243
90802,665000.0,1,1,1006,100 W 5TH ST UNIT 7B,Long Beach,California,39036,2307.8,Los Angeles,90525.0,33.75035,-118.21143
75224,620000.0,4,3,3456,1911 EBBTIDE LN,Dallas,Texas,36373,2446.4,Dallas,63695.0,32.71117,-96.83953
95122,999998.0,4,2,1139,1538 DENALI WAY,San Jose,California,54100,4368.1,Santa Clara,120376.0,37.32925,-121.83481
85040,275000.0,6,2,1652,5219 S 3RD ST,Phoenix,Arizona,33802,1291.0,Maricopa,63953.0,33.40585,-112.02658
67220,192500.0,3,3,1401,6000 MEMPHIS ST,Wichita,Kansas,13682,734.8,Sedgwick,84325.0,37.75191,-97.27909
87106,409000.0,2,2,1700,3028 DELANO PL NE,Albuquerque,New Mexico,25844,278.6,Bernalillo,75283.0,35.00818,-106.61185
74146,259900.0,3,2,2438,10870 E 33RD ST,Tulsa,Oklahoma,16084,1208.9,Tulsa,53468.0,36.09784,-95.85344
85755,1290000.0,5,3,4762,1940 W SUNKIST RD,Tucson,Arizona,17352,198.0,Pima,146995.0,32.46836,-110.98152
79930,115000.0,2,1,942,3906 IDALIA AVE,El Paso,Texas,26787,1381.3,El Paso,54061.0,31.81078,-106.46846
77054,335000.0,3,4,2148,9028 HARBOR HILLS DR,Houston,Texas,23699,1711.2,Harris,65357.0,29.68102,-95.40424
53212,312900.0,2,2,1109,1924 N HUBBARD ST APT 302,Milwaukee,Wisconsin,29142,2763.2,Milwaukee,64769.0,43.07464,-87.90845
76052,685900.0,3,3,3035,1701 WINTERGREEN CT,Haslet,Texas,26240,244.4,Tarrant,147120.0,32.98205,-97.38037
70130,360000.0,2,2,1114,760 MAGAZINE ST APT 224,New Orleans,Louisiana,13478,2438.8,Orleans,120506.0,29.93671,-90.06949
40223,448000.0,2,2,2241,10500 RILE RD,Louisville,Kentucky,23739,760.3,Jefferson,130317.0,38.26153,-85.54328
95148,1689000.0,4,3,2104,3139 MOUNT ISABEL CT,San Jose,California,47305,2317.1,Santa Clara,188361.0,37.33252,-121.78142
30345,999900.0,3,3,3000,2185 WILLIAM WAY,Atlanta,Georgia,24823,1354.9,DeKalb,141290.0,33.85082,-84.28317
48215,225000.0,4,2,1462,3951 LAKEVIEW ST,Detroit,Michigan,10542,1030.8,Wayne,56278.0,42.37523,-82.95428
43211,179900.0,3,1,1064,2647 MCGUFFEY RD,Columbus,Ohio,22553,1847.5,Franklin,45952.0,40.01163,-82.97244
32208,159900.0,3,1,864,637 E 60TH ST,Jacksonville,Florida,32244,1080.0,Duval,54640.0,30.39351,-81.68245
20005,215000.0,1,1,422,1440 N ST NW APT 916,Washington,District of Columbia,13444,11974.2,District of Columbia,157958.0,38.90443,-77.0316
28215,623475.0,2,2,2136,8607 PROFIT LN,Charlotte,North Carolina,63548,850.5,Mecklenburg,80157.0,35.24854,-80.69571
